,imdbid,title,year,imdb_rating,estimated budget,world gross,id,year_y,bechdel_rating
792,0046912,Dial M for Murder,1954,8.2,"$1,400,000 (estimated)","$42,915",3337.0,1954.0,0.0
793,0047478,Seven Samurai,1954,8.6,"¥125,000,000 (estimated)","$346,258",3600.0,1954.0,0.0
794,0047522,A Star Is Born,1954,7.5,"$5,019,770 (estimated)","$4,348,890",3674.0,1954.0,1.0
795,0046963,Executive Suite,1954,7.4,"$5,019,770 (estimated)","$4,348,890",3925.0,1954.0,2.0
796,0046511,Journey to Italy,1954,7.3,"$5,019,770 (estimated)","$4,348,890",3954.0,1954.0,3.0
803,0047034,Godzilla,1954,7.5,"$175,000 (estimated)","$562,711",5505.0,1954.0,1.0
811,0046816,The Caine Mutiny,1954,7.7,"$2,000,000 (estimated)","$21,750,000",9567.0,1954.0,1.0
812,0047469,Senso,1954,7.4,"ITL 700,000,000 (estimated)","$27,723",10286.0,1954.0,1.0
813,0048728,To Catch a Thief,1955,7.4,"$2,500,000 (estimated)","$2,964",782.0,1955.0,3.0
814,0048424,The Night of the Hunter,1955,8.0,"$795,000 (estimated)","$2,519",878.0,1955.0,3.0
815,0048280,Lady and the Tramp,1955,7.3,"$4,000,000 (estimated)","$93,933,394",1170.0,1955.0,2.0
822,0048545,Rebel Without a Cause,1955,7.6,"$1,500,000 (estimated)","$212,780",2926.0,1955.0,1.0
823,0046969,The Fast and the Furious,1954,5.3,"$1,500,000 (estimated)","$212,780",3158.0,1955.0,3.0
826,0048801,We're No Angels,1955,7.4,"$1,685,000 (estimated)",$94,3739.0,1955.0,3.0
827,0047898,Bride of the Monster,1955,4.1,"$1,685,000 (estimated)",$94,4073.0,1955.0,3.0
828,0048696,Tarantula,1955,6.4,"$1,685,000 (estimated)",$94,4108.0,1955.0,0.0
829,0048356,Marty,1955,7.7,"$1,685,000 (estimated)",$94,4442.0,1955.0,3.0
830,0048445,Oklahoma!,1955,7.0,"$5,000,000 (estimated)","$15,520",4754.0,1955.0,3.0
831,0048605,The Seven Year Itch,1955,7.1,"$1,800,000 (estimated)","$7,652",4896.0,1955.0,1.0
846,0048308,Lola Montès,1955,7.2,"FRF 650,000,000 (estimated)","$303,175",10354.0,1955.0,3.0
847,0047849,Bad Day at Black Rock,1955,7.7,"$1,271,000 (estimated)","$10,813",10527.0,1955.0,0.0
852,0049408,The King and I,1956,7.4,"$4,550,000 (estimated)","$21,300,415",1092.0,1956.0,2.0
857,0049366,Invasion of the Body Snatchers,1956,7.7,"$417,000 (estimated)","$1,861",2698.0,1956.0,3.0
858,0049096,The Court Jester,1955,7.8,"$417,000 (estimated)","$1,861",2730.0,1956.0,2.0
859,0049934,War and Peace,1956,6.7,"$417,000 (estimated)","$1,861",2861.0,1956.0,3.0
860,0049010,Bigger Than Life,1956,7.4,"$417,000 (estimated)","$1,861",2904.0,1956.0,0.0
861,0049833,The Ten Commandments,1956,7.9,"$13,282,712 (estimated)","$65,500,000",3076.0,1956.0,2.0
862,0049189,...And God Created Woman,1956,6.3,"$13,282,712 (estimated)","$65,500,000",3409.0,1956.0,3.0
863,0048960,Around the World in 80 Days,1956,6.7,"$6,000,000 (estimated)","$42,000,000",3981.0,1956.0,0.0
864,0049640,The Proud and Profane,1956,6.1,"$6,000,000 (estimated)","$42,000,000",4245.0,1956.0,3.0
867,0049406,The Killing,1956,7.9,"$320,000 (estimated)",$203,5414.0,1956.0,1.0
885,0050083,12 Angry Men,1957,9.0,"$350,000 (estimated)",$955,302.0,1957.0,0.0
886,0051114,The True Story of Jesse James,1957,6.2,"$350,000 (estimated)",$955,965.0,1957.0,2.0
889,0050539,The Incredible Shrinking Man,1957,7.6,"$750,000 (estimated)","$2,580",1291.0,1957.0,0.0
890,0050825,Paths of Glory,1957,8.4,"$935,000 (estimated)","$5,252",1274.0,1957.0,0.0
891,0050798,Old Yeller,1957,7.2,"$935,000 (estimated)","$5,252",1121.0,1957.0,1.0
892,0051077,The Three Faces of Eve,1957,7.2,"$935,000 (estimated)","$5,252",1660.0,1957.0,0.0
893,0050419,Funny Face,1957,7.0,"$935,000 (estimated)","$5,252",1747.0,1957.0,3.0
897,0050976,The Seventh Seal,1957,8.1,"$150,000 (estimated)","$311,212",2043.0,1957.0,1.0
899,0051036,Sweet Smell of Success,1957,8.0,"$3,400,000 (estimated)","$7,704",2301.0,1957.0,1.0
900,0050397,Fire Down Below,1957,6.0,"$3,400,000 (estimated)","$7,704",2420.0,1957.0,0.0
901,0050490,"Heaven Knows, Mr. Allison",1957,7.3,"$3,400,000 (estimated)","$7,704",2429.0,1957.0,0.0
