,title,id,imdbid,year,rating
336,"Man Who Knew Too Much, The",7304,0025452,1934,3
337,Imitation of Life,7999,0025301,1934,3
338,Mystery Liner,8653,0025543,1934,0
339,Top Hat,595,0027125,1935,2
340,"39 Steps, The",1242,0026029,1935,3
341,Anna Karenina,1261,0026071,1935,2
342,Mutiny on the Bounty,1361,0026752,1935,1
343,Naughty Marietta,1685,0026768,1935,3
344,Roberta,2362,0026942,1935,3
345,Magnificent Obsession,2756,0026667,1935,3
346,A Night At The Opera,3881,0026778,1935,1
347,"Bride of Frankenstein, The",3891,0026138,1935,3
348,"Lady in Scarlet, The",5750,0026599,1935,2
349,"Riverside Murder, The",5913,0026939,1935,2
350,Mad Love,7998,0026663,1935,2
351,Swing Time,596,0028333,1936,1
352,Modern Times,1323,0027977,1936,0
353,"Charge of the Light Brigade, The",1237,0027438,1936,1
354,San Francisco,1359,0028216,1936,1
355,Wife vs. Secretary,1360,0028505,1936,2
356,"Petrified Forest, The",1369,0028096,1936,3
357,Mr. Deeds Goes to Town,1992,0027996,1936,3
358,Born to Dance,2363,0027387,1936,3
359,Revolt of the Zombies,2554,0028174,1936,0
360,Earthworm Tractors,2699,0027562,1936,1
361,Osaka Elegy,2853,0028021,1936,3
362,Theodora Goes Wild,3280,0028355,1936,3
363,"Great Ziegfeld, The",3401,0027698,1936,3
364,"Mandarin Mystery, The",3548,0029207,1936,3
365,"Only Son, The",3560,0027752,1936,3
366,Camille,3598,0028683,1936,3
367,Pennies from Heaven,4010,0028092,1936,3
368,Romeo and Juliet,4069,0028203,1936,3
369,Bullets or Ballots,4143,0027407,1936,3
370,My Man Godfrey,5852,0028010,1936,2
371,Sabotage,5926,0028212,1936,3
372,Fury,6096,0027652,1936,2
373,Murder at Glen Athol,6174,0028000,1936,3
374,Il caso Valdemar,6210,3427056,1936,0
375,These Three,7227,0028356,1936,2
376,Secret Agent,7308,0028231,1936,3
377,Dracula&#39;s Daughter,7992,0027545,1936,3
378,Shall We Dance,597,0029546,1937,1
379,Stage Door,631,0029604,1937,3
380,Stella Dallas,795,0029608,1937,3
381,Conquest,1332,0028739,1937,2
